Variable Name,Submodule,Parent Class,Scope,File,Line
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.lang_code_to_id,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,207
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.id_to_lang_token,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,211
pythainlp.translate.tokenization_small100.SMALL100Tokenizer._tgt_lang,translate,SMALL100Tokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,215
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.cur_lang_id,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,216
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.num_madeup_words,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,219
pythainlp.translate.tokenization_small100.SMALL100Tokenizer._tgt_lang,translate,SMALL100Tokenizer,private,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,232
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.__dict__,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,355
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.sp_model_kwargs,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,359
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.sp_model,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,361
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.tgt_lang,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,398
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.tgt_lang,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,411
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.prefix_tokens,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,419
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.suffix_tokens,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,420
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.cur_lang_id,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,426
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.prefix_tokens,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,427
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.suffix_tokens,translate,SMALL100Tokenizer,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,428
pythainlp.translate.zh_th.ThZhTranslator.tokenizer_thzh,translate,ThZhTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,43
pythainlp.translate.zh_th.ThZhTranslator.model_thzh,translate,ThZhTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,44
pythainlp.translate.zh_th.ThZhTranslator.model_thzh,translate,ThZhTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,46
pythainlp.translate.zh_th.ThZhTranslator.translated,translate,ThZhTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,67
pythainlp.translate.zh_th.ZhThTranslator.tokenizer_zhth,translate,ZhThTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,99
pythainlp.translate.zh_th.ZhThTranslator.model_zhth,translate,ZhThTranslator,public,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/zh_th.py,100
